OID,ID,NID,WEIGHT
786,148,157,1
787,149,29,1
788,149,98,1
789,150,17,1
790,150,42,1
791,150,99,1
792,151,74,1
793,151,132,1
794,151,141,1
795,152,57,1
796,152,59,1
797,152,126,1
798,152,147,1
799,152,148,1
800,152,157,1
801,153,52,1
802,153,54,1
803,153,66,1
804,153,72,1
805,153,95,1
806,153,120,1
807,154,67,1
808,154,169,1
809,154,170,1
810,155,15,1
811,155,28,1
812,155,43,1
813,155,129,1
814,156,9,1
815,156,10,1
816,156,19,1
817,156,23,1
818,157,70,1
819,157,86,1
820,157,128,1
821,157,147,1
822,157,148,1
823,157,152,1
824,157,163,1
825,158,5,1
826,158,36,1
827,158,54,1
828,158,55,1
829,158,66,1
830,158,133,1
831,159,16,1
832,159,80,1
833,159,111,1
834,159,143,1
835,160,53,1
836,160,60,1
837,160,72,1
838,160,85,1
839,160,133,1
840,160,137,1
841,161,2,1
842,161,22,1
843,161,28,1
844,161,33,1
845,161,71,1
846,161,83,1
847,161,100,1
848,161,101,1
849,161,108,1
850,161,117,1
851,161,129,1
852,161,165,1
853,161,168,1
854,162,13,1
855,162,30,1
856,162,60,1
857,162,73,1
858,162,97,1
859,162,137,1
860,162,164,1
861,163,17,1
862,163,42,1
863,163,50,1
864,163,86,1
865,163,128,1
866,163,157,1
867,164,30,1
868,164,73,1
869,164,82,1
870,164,85,1
871,164,135,1
872,164,162,1
873,165,18,1
874,165,24,1
875,165,76,1
876,165,83,1
877,165,108,1
878,165,161,1
879,166,12,1
880,166,26,1
881,166,51,1
882,166,67,1
883,166,110,1
884,166,119,1
885,167,62,1
886,167,71,1
887,167,76,1
888,167,83,1
889,167,145,1
890,168,11,1
891,168,35,1
892,168,71,1
893,168,89,1
894,168,90,1
895,168,117,1
896,168,161,1
897,169,39,1
898,169,67,1
899,169,87,1
900,169,110,1
901,169,154,1
902,169,170,1
903,170,39,1
904,170,45,1
905,170,63,1
906,170,67,1
907,170,105,1
908,170,106,1
909,170,154,1
910,170,169,1
